timestamp,price1,size1,ticks1,change1,price2,size2,ticks2,change2,roc_1,roc_5,roc_15,spread
13:49:35,335.584125,4536,40,0.5676293999627146,274.64098666666666,1605,15,1.022953529372056,-0.013380598666158483,0.0545700204805748,0.03050495662324454,-0.4553241294093414
13:49:36,335.61915151515166,5255,66,0.5781261229377564,274.6575600000001,5070,50,1.029049804744104,-0.002612121476869511,0.05897046808356876,0.0349054042262385,-0.45092368180634745
13:49:37,335.64,350,4,0.5843739831360825,274.681,4605,13,1.0376718901052753,-0.0018793342558144355,0.056596242920723405,0.032531179063393145,-0.4532979069691928
13:49:38,335.6375,500,1,0.5836247847838073,274.67333333333335,503,6,1.034851810991123,-0.005307604783180708,0.05866712368260063,0.03460205982527037,-0.4512270262073156
13:49:39,335.6442904761904,4062,21,0.5856597502130187,274.69966666666664,769,15,1.0445381696875837,-0.0126633955550004,0.051015730415351235,0.026950666558020975,-0.458878419474565
13:49:40,335.6516666666667,550,6,0.5878702421133832,274.69403333333327,1316,3,1.0424660245993342,-0.010726869800485539,0.05529836740396521,0.03123330354663495,-0.454595782485951
13:49:41,335.65,1245,13,0.5873707765451828,274.69366,500,5,1.0423286990077212,-0.011967781981235492,0.054936227427377804,0.030871163570047544,-0.4549579224625384
13:49:42,335.6027083333333,3167,48,0.5731984410479577,274.6511111111111,1309,27,1.0266776686312231,0.0003722399908382412,0.056414922306650794,0.032349858449320534,-0.4534792275832654
13:49:43,335.57413799999995,4942,50,0.5646365023850362,274.6111564102565,4101,39,1.0119808750582648,0.004830296082362073,0.06254977721668753,0.03848471335935727,-0.4473443726732287
13:49:44,335.58624999999995,205,4,0.5682662185621424,274.61,100,1,1.0115555052654268,0.009968625894869909,0.06660486318663184,0.042539799329301575,-0.4432892867032844
13:49:45,335.59,360,5,0.5693900160905636,274.6331,100,1,1.020052526248536,-0.0019334334320367796,0.059231639731943786,0.035166575874613526,-0.45066251015797243
13:49:46,335.5799526315789,1961,19,0.5663790273442586,274.62091428571426,550,7,1.0155701768987444,0.0007213873591787046,0.06070300033543041,0.03663793647810015,-0.4491911495544858
13:49:47,335.573275,2210,4,0.5643778791138533,274.6215125,363,8,1.015790221891742,-0.0069806507471318335,0.05848180711202744,0.03441674325469718,-0.4514123427778888
13:49:48,335.5867,400,1,0.5684010742655693,274.6215125,0,0,1.015790221891742,0.004320130959476587,0.06250500226374345,0.03843993840641319,-0.44738914762617277
13:49:50,335.59484375000017,1437,32,0.5708415878981551,274.6386363636363,590,11,1.0220890023518956,0.007249326623353314,0.05864673543617571,0.03458167157884545,-0.4512474144537405
13:49:51,335.59785714285715,780,7,0.5717446394834403,274.6275,230,4,1.0179926423738372,0.014920016296460892,0.06364614699951932,0.039581083142189055,-0.4462480028903969
13:49:52,335.6077666666667,109,3,0.5747143190474183,274.63399999999996,151,3,1.0203835790140914,0.01644070031203504,0.06422488992324316,0.040159826065912896,-0.44566925996667306
13:49:53,335.59934,550,5,0.5721890211346685,274.63329999999996,436,4,1.0201260935297565,0.014123876030324944,0.06195707749482826,0.037892013637498,-0.44793707239508795
13:49:54,335.59003333333334,141,3,0.5694000054019361,274.62495,2001,2,1.0170546595380447,0.008617419495479228,0.062239495753807605,0.038174431896477345,-0.4476546541361086
13:49:55,335.5679517647061,7797,85,0.5627826154694581,274.6079513513514,2173,37,1.0108019377089652,0.01013323606715777,0.06187482765040908,0.03780976379307882,-0.44801932223950713
13:49:56,335.550648780488,4493,41,0.5575972685632035,274.57831666666664,575,6,0.9999012217957931,0.016200224948813124,0.06759019665732657,0.04352513279999631,-0.44230395323258964
13:49:57,335.51968750000026,2062,32,0.5483188124328926,274.56949999999995,3080,21,0.996658130814497,0.015114191162760027,0.06155483150831187,0.03748976765098161,-0.44833931838160435
13:49:58,335.5255333333333,902,9,0.5500706879132183,274.602225,1750,4,1.0086955772072452,0.003235824553400435,0.05126926059588932,0.02720419673855906,-0.4586248892940269
13:49:59,335.53198181818175,1954,11,0.5520031656024629,274.59,200,2,1.0041987771415086,0.010484796735073076,0.057698538350870465,0.033633474493540205,-0.45219561153904575
13:50:00,335.54441176470596,907,17,0.5557281637843877,274.60269230769234,1009,13,1.0088674699893907,0.007017530741618927,0.056754843684913237,0.032689779827582977,-0.453139306205003
13:50:01,335.57027592592596,5038,54,0.5634791185719952,274.6426470588234,3031,34,1.0235642820558648,-0.004810336002599502,0.049808986406046585,0.025743922548716325,-0.46008516348386963
13:50:02,335.6009259259262,4888,54,0.5726642903709753,274.67063571428577,1377,14,1.033859528495377,-0.00201341487298079,0.04869891176551444,0.02463384790818418,-0.4611952381244018
13:50:03,335.63157777777775,2395,18,0.5818500171315224,274.7102625,1200,8,1.0484357029415683,-0.009383656689150865,0.043308464079870324,0.019243400222540064,-0.4665856858100459
13:50:04,335.7849222222223,480,9,0.6278041791749203,274.6872,125,1,1.0399524758236987,0.04213097298675772,0.09774585324113783,0.07368078938380757,-0.4121482966487784
13:50:05,335.6136666666667,1540,15,0.5764824271587882,274.68100000000004,110,2,1.0376718901052961,-0.010322460547235512,0.04870468694340824,0.024639623086077977,-0.461189462946508
13:50:06,335.6414864864864,3993,37,0.5848194524265944,274.697,722,10,1.0435572726044058,-0.007090877274429919,0.05115632971210482,0.02709126585477456,-0.4587378201778114
13:50:07,335.6399255813951,3626,43,0.5843516814176242,274.6880321428572,2521,28,1.0402585682617238,-0.005155977933796518,0.05398726304581658,0.02992219918848632,-0.45590688684409963
13:50:08,335.6285857142857,1628,7,0.5809533575162605,274.6766,136,2,1.0360534099180254,-0.00413908831756693,0.05479409748815134,0.03072903363082108,-0.4551000524017649
13:50:09,335.63,645,10,0.581377189726982,274.68,104,2,1.0373040536990887,-0.009245286388620433,0.05396728591780953,0.029902222060479267,-0.4559268639721067
13:50:10,335.6383333333333,861,6,0.583874517567899,274.7057142857143,503,7,1.0467627041441088,-0.016617255377272322,0.047005963313706434,0.022940899456376174,-0.4628881865762098
13:50:11,335.64362,682,5,0.5854588223501814,274.704975,435,4,1.046490767943808,-0.013240851703483214,0.048862204296289624,0.024797140438959364,-0.4610319455936266
13:50:12,335.71921249999997,313,8,0.6081123329279351,274.69045454545454,802,11,1.0411496161274898,0.007090552228195435,0.07685686669036151,0.052791802833031254,-0.4330372831995547
13:50:13,335.6442333333333,520,3,0.585642625679269,274.69683999999995,1530,5,1.0434984187793959,-0.017059689319273486,0.0520383567897893,0.027973292932459037,-0.4578557931001269
13:50:14,335.6476562499998,3655,32,0.5866684030898663,274.71889444444446,1321,18,1.051610846364495,-0.049040475409668494,0.04495170661528747,0.020886642757957208,-0.46494244327462875
13:50:15,335.6564703703703,4931,54,0.5893098128732068,274.7300142857143,12930,35,1.0557011288146458,-0.024263922705367813,0.043502833948477204,0.019437770091146944,-0.466391315941439
